维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
S1数值	unit_cs:Minion	only_buildings ↔ 官方 target_only_buildings	0	Minion:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	only_towers ↔ 官方 target_only_towers	0	Minion:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	only_troops ↔ 官方 target_only_troops	0	Minion:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	projectile_key ↔ 官方 custom_first_projectile/projectile	MinionSpit	Minion:custom_first_projectile/projectile = MinionSpit	ours=MinionSpit official=MinionSpit	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	radius_mt ↔ 官方 collision_radius	500	Minion:collision_radius = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	range_mt ↔ 官方 range	1600	Minion:range = 1600	ours=1600 official=1600	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	sight_mt ↔ 官方 sight_range	5500	Minion:sight_range = 5500	ours=5500 official=5500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	Minion:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	spawn_limit ↔ 官方 spawn_limit	0	Minion:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	spawn_n ↔ 官方 spawn_number	0	Minion:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	spawn_radius_mt ↔ 官方 spawn_radius	0	Minion:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	speed ↔ 官方 speed	90	Minion:speed = 90	ours=90 official=90	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=chr_minion_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Minion	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Minion	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Minion	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Minion	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MinionSpit	damage ↔ 官方 damage_per_level	117	MinionSpit:damage_per_level = 117	ours=117 official=117	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MinionSpit	id (本项目自定列)	-	本项目自定：id	ours=26020062	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MinionSpit	key (本项目自定列)	-	本项目自定：key	ours=MinionSpit	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MinionSpit	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MinionSpit	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MinionSpit	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	MinionSpit:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MinionSpit	speed ↔ 官方 speed	1000	MinionSpit:speed = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MinionSpit	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MinionSpit	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MinionSpit	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MinionSpit	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MinionSpit	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MortarProjectile	damage ↔ 官方 damage_per_level	266	MortarProjectile:damage_per_level = 266	ours=266 official=266	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MortarProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020084	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MortarProjectile	key (本项目自定列)	-	本项目自定：key	ours=MortarProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MortarProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MortarProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MortarProjectile	radius_mt ↔ 官方 collision_radius	2000	MortarProjectile:collision_radius = 2000	ours=2000 official=2000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MortarProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	MortarProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MortarProjectile	speed ↔ 官方 speed	300	MortarProjectile:speed = 300	ours=300 official=300	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MortarProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MortarProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MortarProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MortarProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MortarProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MovingCannonProjectile	damage ↔ 官方 damage_per_level	212	MovingCannonProjectile:damage_per_level = 212	ours=212 official=212	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MovingCannonProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020081	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MovingCannonProjectile	key (本项目自定列)	-	本项目自定：key	ours=MovingCannonProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MovingCannonProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MovingCannonProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MovingCannonProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	MovingCannonProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MovingCannonProjectile	speed ↔ 官方 speed	1000	MovingCannonProjectile:speed = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MovingCannonProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MovingCannonProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MovingCannonProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MovingCannonProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MovingCannonProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MusketeerProjectile	damage ↔ 官方 damage_per_level	218	MusketeerProjectile:damage_per_level = 218	ours=218 official=218	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MusketeerProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020066	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MusketeerProjectile	key (本项目自定列)	-	本项目自定：key	ours=MusketeerProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MusketeerProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MusketeerProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MusketeerProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	MusketeerProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MusketeerProjectile	speed ↔ 官方 speed	1000	MusketeerProjectile:speed = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MusketeerProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MusketeerProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MusketeerProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MusketeerProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MusketeerProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessProjectile	damage ↔ 官方 damage_per_level	169	PrincessProjectile:damage_per_level = 169	ours=169 official=169	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020072	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessProjectile	key (本项目自定列)	-	本项目自定：key	ours=PrincessProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessProjectile	radius_mt ↔ 官方 collision_radius	2000	PrincessProjectile:collision_radius = 2000	ours=2000 official=2000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	PrincessProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessProjectile	speed ↔ 官方 speed	600	PrincessProjectile:speed = 600	ours=600 official=600	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessTower	aoe_radius_mt ↔ 官方 area_damage_radius	0	PrincessTower:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessTower	atk_air ↔ 官方 attacks_air	1	PrincessTower:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessTower	atk_ground ↔ 官方 attacks_ground	1	PrincessTower:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessTower	damage ↔ 官方 damage_per_level	128	PrincessTower:damage_per_level = 128	ours=128 official=128	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessTower	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	PrincessTower:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessTower	death_damage ↔ 官方 death_damage	0	PrincessTower:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessTower	death_spawn_n ↔ 官方 death_spawn_count	0	PrincessTower:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessTower	deploy_ms ↔ 官方 deploy_time	0	PrincessTower:deploy_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessTower	flying ↔ 官方 flying_height	0	PrincessTower:flying_height = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessTower	hit_speed_ms ↔ 官方 hit_speed	800	PrincessTower:hit_speed = 800	ours=800 official=800	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessTower	hp ↔ 官方 hitpoints_per_level	3584	PrincessTower:hitpoints_per_level = 3584	ours=3584 official=3584	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:PrincessTower	id (本项目自定列)	-	本项目自定：id	ours=26020058	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessTower	key (本项目自定列)	-	本项目自定：key	ours=PrincessTower	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessTower	kind (本项目自定列)	-	本项目自定：kind	ours=2	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:PrincessTower	life_ms ↔ 官方 life_time	0	PrincessTower:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
